Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Leukaemia,High exposure,Both,Male,,,,,,,,"1.483
(1.191 to 1.818)","1.479
(1.183 to 1.833)","1.474
(1.182 to 1.816)","1.480
(1.192 to 1.831)","1.479
(1.195 to 1.806)","1.467
(1.174 to 1.844)","1.481
(1.178 to 1.840)","1.490
(1.197 to 1.835)","1.470
(1.196 to 1.842)","1.487
(1.198 to 1.847)","1.485
(1.188 to 1.807)","1.480
(1.180 to 1.836)","1.482
(1.201 to 1.840)","1.488
(1.198 to 1.831)"
Leukaemia,Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Leukaemia,No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Leukaemia,High exposure,Both,Female,,,,,,,,"1.485
(1.197 to 1.846)","1.485
(1.183 to 1.864)","1.479
(1.184 to 1.846)","1.471
(1.181 to 1.777)","1.469
(1.182 to 1.819)","1.486
(1.196 to 1.825)","1.485
(1.190 to 1.851)","1.481
(1.191 to 1.857)","1.480
(1.199 to 1.817)","1.470
(1.183 to 1.815)","1.473
(1.190 to 1.815)","1.471
(1.193 to 1.795)","1.490
(1.209 to 1.860)","1.464
(1.179 to 1.789)"
Leukaemia,Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Leukaemia,No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to nickel,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"2.148
(1.313 to 3.270)","2.190
(1.331 to 3.416)","2.169
(1.322 to 3.362)","2.151
(1.304 to 3.329)","2.137
(1.336 to 3.228)","2.152
(1.378 to 3.267)","2.175
(1.293 to 3.302)","2.168
(1.350 to 3.355)","2.162
(1.346 to 3.318)","2.142
(1.266 to 3.314)","2.159
(1.353 to 3.226)","2.165
(1.331 to 3.345)","2.153
(1.352 to 3.197)","2.134
(1.328 to 3.329)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"2.147
(1.372 to 3.280)","2.161
(1.337 to 3.310)","2.158
(1.338 to 3.266)","2.154
(1.394 to 3.347)","2.160
(1.271 to 3.437)","2.160
(1.348 to 3.411)","2.127
(1.327 to 3.223)","2.173
(1.385 to 3.279)","2.175
(1.349 to 3.325)","2.153
(1.345 to 3.328)","2.188
(1.373 to 3.305)","2.166
(1.363 to 3.280)","2.142
(1.353 to 3.123)","2.153
(1.348 to 3.270)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to polycyclic aromatic hydrocarbons,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.310
(1.165 to 1.471)","1.304
(1.145 to 1.466)","1.313
(1.162 to 1.486)","1.314
(1.166 to 1.478)","1.315
(1.169 to 1.475)","1.314
(1.159 to 1.476)","1.315
(1.153 to 1.479)","1.312
(1.159 to 1.478)","1.318
(1.165 to 1.484)","1.311
(1.158 to 1.479)","1.313
(1.166 to 1.486)","1.314
(1.154 to 1.484)","1.313
(1.160 to 1.479)","1.309
(1.176 to 1.478)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.310
(1.154 to 1.487)","1.311
(1.157 to 1.470)","1.313
(1.153 to 1.473)","1.313
(1.155 to 1.469)","1.316
(1.162 to 1.483)","1.313
(1.156 to 1.477)","1.314
(1.154 to 1.485)","1.314
(1.170 to 1.484)","1.311
(1.146 to 1.479)","1.312
(1.163 to 1.482)","1.309
(1.147 to 1.492)","1.316
(1.168 to 1.475)","1.315
(1.150 to 1.480)","1.315
(1.166 to 1.482)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to silica,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.323
(1.243 to 1.411)","1.319
(1.233 to 1.413)","1.321
(1.237 to 1.406)","1.322
(1.237 to 1.411)","1.319
(1.235 to 1.404)","1.319
(1.230 to 1.400)","1.321
(1.242 to 1.410)","1.318
(1.233 to 1.405)","1.321
(1.237 to 1.412)","1.320
(1.238 to 1.410)","1.323
(1.241 to 1.410)","1.323
(1.243 to 1.408)","1.322
(1.240 to 1.413)","1.320
(1.233 to 1.402)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.321
(1.239 to 1.407)","1.316
(1.229 to 1.407)","1.321
(1.237 to 1.408)","1.320
(1.237 to 1.406)","1.320
(1.235 to 1.407)","1.321
(1.234 to 1.407)","1.321
(1.237 to 1.405)","1.320
(1.231 to 1.409)","1.321
(1.241 to 1.403)","1.318
(1.232 to 1.404)","1.317
(1.234 to 1.405)","1.319
(1.238 to 1.406)","1.321
(1.236 to 1.406)","1.320
(1.238 to 1.409)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to sulfphuric acid,,,,,,,,,,,,,,,,,,,,,,,,
Larynx cancer,High exposure,Both,Male,,,,,,,,"4.566
(2.192 to 8.629)","4.540
(2.143 to 8.509)","4.531
(2.156 to 8.611)","4.582
(2.030 to 9.128)","4.562
(2.149 to 8.787)","4.567
(2.148 to 8.480)","4.496
(2.098 to 8.418)","4.512
(2.183 to 8.441)","4.572
(2.199 to 8.827)","4.589
(2.114 to 9.193)","4.584
(2.029 to 8.556)","4.586
(1.965 to 8.424)","4.596
(2.061 to 8.303)","4.582
(2.134 to 8.669)"
Larynx cancer,Low exposure,Both,Male,,,,,,,,"2.044
(0.958 to 3.828)","2.047
(0.958 to 3.834)","2.033
(0.965 to 3.834)","2.045
(0.975 to 3.769)","2.053
(0.907 to 3.852)","2.007
(0.959 to 3.574)","2.003
(0.949 to 3.619)","2.000
(0.970 to 3.799)","2.037
(0.998 to 3.698)","2.030
(0.968 to 3.844)","2.009
(1.017 to 3.774)","2.028
(0.959 to 3.916)","2.011
(0.965 to 3.754)","2.062
(1.005 to 3.853)"
Larynx cancer,No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Larynx cancer,High exposure,Both,Female,,,,,,,,"4.619
(2.057 to 8.763)","4.539
(2.217 to 8.582)","4.623
(2.099 to 8.849)","4.510
(2.167 to 8.101)","4.608
(2.105 to 8.521)","4.630
(2.153 to 8.590)","4.567
(2.141 to 8.593)","4.530
(2.178 to 8.637)","4.573
(2.094 to 9.248)","4.441
(2.095 to 8.542)","4.558
(2.106 to 8.372)","4.518
(2.234 to 8.377)","4.552
(2.082 to 8.545)","4.582
(2.170 to 8.433)"
Larynx cancer,Low exposure,Both,Female,,,,,,,,"2.030
(0.956 to 3.788)","2.052
(0.994 to 3.887)","1.990
(0.970 to 3.845)","2.023
(0.974 to 3.834)","2.061
(0.962 to 3.928)","2.007
(0.950 to 3.826)","2.030
(0.952 to 3.897)","2.028
(0.987 to 3.725)","2.035
(0.940 to 3.768)","2.017
(0.939 to 3.698)","2.015
(0.953 to 3.752)","2.043
(0.965 to 3.838)","2.016
(0.955 to 4.004)","2.016
(0.937 to 3.961)"
Larynx cancer,No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to trichloroethylene,,,,,,,,,,,,,,,,,,,,,,,,
Kidney cancer,High exposure,Both,Both,,,,,,,,"1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)","1.245
(1.054 to 1.458)"
Kidney cancer,Low esposure,Both,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Kidney cancer,No exposure,Both,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational asthmagens,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,Admin,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",
Asthma,Technical,Both,Male,,,,,,,,"1.050
(0.977 to 1.126)","1.051
(0.979 to 1.122)","1.051
(0.981 to 1.124)","1.051
(0.983 to 1.118)","1.050
(0.977 to 1.120)","1.050
(0.981 to 1.122)","1.051
(0.980 to 1.121)","1.051
(0.986 to 1.122)","1.050
(0.976 to 1.126)","1.050
(0.987 to 1.118)","1.051
(0.984 to 1.121)","1.051
(0.981 to 1.122)","1.051
(0.981 to 1.122)",
Asthma,Sales,Both,Male,,,,,,,,"1.140
(1.047 to 1.237)","1.140
(1.048 to 1.235)","1.144
(1.055 to 1.233)","1.142
(1.048 to 1.234)","1.140
(1.045 to 1.234)","1.141
(1.053 to 1.235)","1.143
(1.052 to 1.238)","1.140
(1.046 to 1.236)","1.141
(1.056 to 1.235)","1.138
(1.046 to 1.236)","1.139
(1.056 to 1.226)","1.141
(1.052 to 1.243)","1.140
(1.058 to 1.240)",
Asthma,Agriculture,Both,Male,,,,,,,,"1.519
(1.097 to 2.030)","1.527
(1.119 to 2.069)","1.524
(1.102 to 2.022)","1.513
(1.122 to 2.000)","1.523
(1.108 to 2.023)","1.516
(1.081 to 2.045)","1.522
(1.105 to 2.038)","1.520
(1.120 to 2.032)","1.519
(1.102 to 2.020)","1.531
(1.122 to 2.055)","1.520
(1.105 to 2.042)","1.508
(1.080 to 2.022)","1.498
(1.079 to 1.965)",
Asthma,Mining,Both,Male,,,,,,,,"1.959
(1.575 to 2.431)","1.959
(1.567 to 2.382)","1.971
(1.602 to 2.422)","1.966
(1.571 to 2.396)","1.963
(1.601 to 2.396)","1.959
(1.588 to 2.388)","1.956
(1.594 to 2.414)","1.964
(1.569 to 2.398)","1.969
(1.615 to 2.417)","1.954
(1.567 to 2.408)","1.965
(1.556 to 2.403)","1.955
(1.572 to 2.393)","1.953
(1.550 to 2.420)",
Asthma,Transport,Both,Male,,,,,,,,"1.313
(1.220 to 1.402)","1.311
(1.221 to 1.406)","1.312
(1.225 to 1.399)","1.310
(1.218 to 1.398)","1.312
(1.225 to 1.404)","1.311
(1.225 to 1.401)","1.313
(1.226 to 1.402)","1.310
(1.222 to 1.398)","1.314
(1.221 to 1.397)","1.313
(1.224 to 1.408)","1.311
(1.227 to 1.398)","1.312
(1.225 to 1.409)","1.311
(1.226 to 1.407)",
Asthma,Manufact,Both,Male,,,,,,,,"1.559
(1.476 to 1.647)","1.561
(1.474 to 1.652)","1.560
(1.474 to 1.657)","1.562
(1.472 to 1.658)","1.561
(1.472 to 1.650)","1.561
(1.471 to 1.656)","1.560
(1.471 to 1.650)","1.562
(1.473 to 1.655)","1.558
(1.460 to 1.656)","1.562
(1.479 to 1.655)","1.559
(1.475 to 1.653)","1.562
(1.474 to 1.657)","1.561
(1.472 to 1.654)",
Asthma,Services,Both,Male,,,,,,,,"1.531
(1.415 to 1.646)","1.531
(1.414 to 1.652)","1.529
(1.409 to 1.649)","1.532
(1.413 to 1.654)","1.529
(1.423 to 1.650)","1.529
(1.415 to 1.646)","1.533
(1.418 to 1.647)","1.535
(1.426 to 1.649)","1.531
(1.414 to 1.656)","1.528
(1.411 to 1.652)","1.530
(1.416 to 1.653)","1.530
(1.411 to 1.659)","1.531
(1.413 to 1.655)",
Asthma,Other,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",
Asthma,Admin,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",
Asthma,Technical,Both,Female,,,,,,,,"1.060
(1.028 to 1.095)","1.060
(1.024 to 1.099)","1.059
(1.025 to 1.095)","1.061
(1.025 to 1.099)","1.060
(1.027 to 1.094)","1.060
(1.026 to 1.094)","1.059
(1.024 to 1.093)","1.060
(1.028 to 1.094)","1.060
(1.027 to 1.092)","1.061
(1.026 to 1.095)","1.060
(1.027 to 1.097)","1.061
(1.023 to 1.096)","1.060
(1.027 to 1.096)",
Asthma,Sales,Both,Female,,,,,,,,"1.131
(1.082 to 1.182)","1.130
(1.083 to 1.178)","1.129
(1.083 to 1.178)","1.130
(1.081 to 1.182)","1.131
(1.084 to 1.181)","1.130
(1.080 to 1.182)","1.130
(1.083 to 1.181)","1.130
(1.079 to 1.179)","1.131
(1.077 to 1.184)","1.130
(1.081 to 1.182)","1.129
(1.082 to 1.181)","1.131
(1.082 to 1.184)","1.131
(1.083 to 1.183)",
Asthma,Agriculture,Both,Female,,,,,,,,"1.520
(1.124 to 2.025)","1.506
(1.099 to 1.999)","1.520
(1.115 to 2.050)","1.514
(1.108 to 2.050)","1.509
(1.098 to 1.975)","1.513
(1.127 to 2.029)","1.508
(1.106 to 2.002)","1.526
(1.101 to 2.076)","1.519
(1.114 to 1.984)","1.530
(1.105 to 2.024)","1.519
(1.105 to 2.025)","1.518
(1.115 to 2.019)","1.502
(1.094 to 2.030)",
Asthma,Mining,Both,Female,,,,,,,,"1.956
(1.580 to 2.412)","1.961
(1.571 to 2.397)","1.967
(1.586 to 2.417)","1.952
(1.565 to 2.378)","1.959
(1.573 to 2.422)","1.959
(1.567 to 2.422)","1.962
(1.585 to 2.387)","1.955
(1.589 to 2.395)","1.948
(1.570 to 2.381)","1.964
(1.596 to 2.409)","1.965
(1.589 to 2.419)","1.959
(1.586 to 2.391)","1.973
(1.583 to 2.395)",
Asthma,Transport,Both,Female,,,,,,,,"1.221
(1.132 to 1.312)","1.220
(1.137 to 1.312)","1.217
(1.136 to 1.303)","1.221
(1.138 to 1.314)","1.221
(1.137 to 1.317)","1.221
(1.132 to 1.314)","1.220
(1.132 to 1.312)","1.220
(1.134 to 1.313)","1.221
(1.139 to 1.315)","1.223
(1.138 to 1.309)","1.221
(1.133 to 1.312)","1.224
(1.134 to 1.316)","1.220
(1.133 to 1.313)",
Asthma,Manufact,Both,Female,,,,,,,,"1.330
(1.272 to 1.393)","1.331
(1.270 to 1.391)","1.330
(1.271 to 1.390)","1.329
(1.271 to 1.388)","1.331
(1.268 to 1.392)","1.329
(1.269 to 1.391)","1.330
(1.269 to 1.391)","1.332
(1.272 to 1.394)","1.331
(1.273 to 1.389)","1.331
(1.272 to 1.392)","1.330
(1.268 to 1.393)","1.330
(1.268 to 1.394)","1.331
(1.272 to 1.390)",
Asthma,Services,Both,Female,,,,,,,,"1.410
(1.352 to 1.468)","1.410
(1.356 to 1.469)","1.412
(1.357 to 1.467)","1.410
(1.356 to 1.465)","1.409
(1.353 to 1.463)","1.409
(1.354 to 1.467)","1.410
(1.354 to 1.467)","1.411
(1.357 to 1.464)","1.409
(1.357 to 1.460)","1.411
(1.355 to 1.466)","1.410
(1.353 to 1.465)","1.410
(1.357 to 1.467)","1.411
(1.357 to 1.465)",
Asthma,Other,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",
"Occupational particulate matter, gases, and fumes",,,,,,,,,,,,,,,,,,,,,,,,
Chronic obstructive pulmonary disease,High,Both,Male,,,,,,,,"2.364
(1.454 to 3.643)","2.341
(1.425 to 3.556)","2.370
(1.409 to 3.615)","2.391
(1.452 to 3.761)","2.387
(1.407 to 3.797)","2.379
(1.399 to 3.681)","2.409
(1.436 to 3.838)","2.361
(1.446 to 3.689)","2.367
(1.452 to 3.666)","2.373
(1.367 to 3.649)","2.357
(1.433 to 3.691)","2.402
(1.430 to 3.769)","2.398
(1.439 to 3.814)","2.359
(1.422 to 3.698)"
Chronic obstructive pulmonary disease,Low,Both,Male,,,,,,,,"1.462
(1.057 to 1.916)","1.457
(1.051 to 1.936)","1.464
(1.084 to 1.914)","1.450
(1.066 to 1.949)","1.452
(1.058 to 1.965)","1.454
(1.075 to 1.961)","1.446
(1.055 to 1.932)","1.457
(1.075 to 1.934)","1.453
(1.051 to 1.910)","1.460
(1.067 to 1.954)","1.443
(1.056 to 1.917)","1.462
(1.096 to 1.956)","1.464
(1.077 to 1.952)","1.462
(1.096 to 1.967)"
Chronic obstructive pulmonary disease,None,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
